"","Direction","es_cat"
"1","decrease","Negative effect (g < -0.2)"
"2","decrease","No effect"
"3","increase","No effect"
"4","decrease","No effect"
"5","increase","No effect"
"6","increase","No effect"
"7","increase","No effect"
"8","increase","No effect"
"9","increase","No effect"
"10","decrease","No effect"
"11","increase","No effect"
"12","increase","No effect"
"13","increase","No effect"
"14","increase","Positive effect (g > 0.2)"
"15","increase","Positive effect (g > 0.2)"
"16","increase","Positive effect (g > 0.2)"
"17","increase","Positive effect (g > 0.2)"
"18","decrease","No effect"
"19","decrease","Negative effect (g < -0.2)"
"20","decrease","No effect"
"21","decrease","Negative effect (g < -0.2)"
"22","increase","Negative effect (g < -0.2)"
"23","decrease","Negative effect (g < -0.2)"
"24","decrease","Negative effect (g < -0.2)"
"25","decrease","No effect"
"26","increase","No effect"
"27","decrease","No effect"
"28","increase","Positive effect (g > 0.2)"
"29","increase","No effect"
"30","increase","No effect"
"31","increase","No effect"
"32","decrease","No effect"
"33","increase","Positive effect (g > 0.2)"
"34","decrease","No effect"
"35","increase","Positive effect (g > 0.2)"
"36","decrease","No effect"
"37","increase","Positive effect (g > 0.2)"
"38","increase","No effect"
"39","increase","Positive effect (g > 0.2)"
"40","increase","No effect"
"41","increase","Positive effect (g > 0.2)"
"42","increase","Positive effect (g > 0.2)"
"43","decrease","Negative effect (g < -0.2)"
"44","increase","Positive effect (g > 0.2)"
"45","decrease","Negative effect (g < -0.2)"
"46","increase","Positive effect (g > 0.2)"
"47","decrease","No effect"
"48","decrease","Negative effect (g < -0.2)"
"49","decrease","No effect"
"50","increase","No effect"
"51","increase","Positive effect (g > 0.2)"
"52","decrease","No effect"
"53","decrease","No effect"
"54","increase","No effect"
"55","increase","Positive effect (g > 0.2)"
"56","increase","No effect"
"57","decrease","No effect"
"58","increase","No effect"
"59","increase","Positive effect (g > 0.2)"
"60","increase","No effect"
"61","increase","No effect"
"62","increase","No effect"
"63","increase","No effect"
"64","increase","No effect"
"65","increase","No effect"
"66","increase","No effect"
"67","increase","No effect"
"68","decrease","No effect"
"69","decrease","No effect"
"70","increase","No effect"
"71","increase","No effect"
"72","increase","Positive effect (g > 0.2)"
"73","increase","Positive effect (g > 0.2)"
"74","increase","No effect"
"75","increase","Positive effect (g > 0.2)"
"76","decrease","Negative effect (g < -0.2)"
"77","decrease","No effect"
"78","increase","No effect"
"79","increase","No effect"
"80","increase","Positive effect (g > 0.2)"
"81","decrease","Negative effect (g < -0.2)"
"82","decrease","No effect"
"83","increase","Positive effect (g > 0.2)"
"84","increase","Positive effect (g > 0.2)"
"85","decrease","Negative effect (g < -0.2)"
"86","increase","Positive effect (g > 0.2)"
"87","increase","Positive effect (g > 0.2)"
"88","increase","Positive effect (g > 0.2)"
"89","increase","Positive effect (g > 0.2)"
"90","decrease","No effect"
"91","increase","No effect"
"92","decrease","Negative effect (g < -0.2)"
"93","decrease","Negative effect (g < -0.2)"
"94","decrease","Negative effect (g < -0.2)"
"95","increase","Positive effect (g > 0.2)"
"96","decrease","Negative effect (g < -0.2)"
"97","increase","Positive effect (g > 0.2)"
"98","decrease","No effect"
"99","increase","Positive effect (g > 0.2)"
"100","decrease","Negative effect (g < -0.2)"
"101","increase","Positive effect (g > 0.2)"
"102","decrease","Negative effect (g < -0.2)"
"103","decrease","Negative effect (g < -0.2)"
"104","increase","Negative effect (g < -0.2)"
"105","decrease","Negative effect (g < -0.2)"
"106","increase","Positive effect (g > 0.2)"
"107","decrease","Negative effect (g < -0.2)"
"108","decrease","No effect"
"109","decrease","Negative effect (g < -0.2)"
"110","decrease","No effect"
"111","increase","Positive effect (g > 0.2)"
"112","increase","Positive effect (g > 0.2)"
"113","decrease","No effect"
"114","increase","No effect"
"115","increase","Positive effect (g > 0.2)"
"116","increase","Positive effect (g > 0.2)"
"117","decrease","Negative effect (g < -0.2)"
"118","decrease","Negative effect (g < -0.2)"
"119","increase","Positive effect (g > 0.2)"
"120","decrease","Negative effect (g < -0.2)"
"121","decrease","Negative effect (g < -0.2)"
"122","increase","Positive effect (g > 0.2)"
"123","increase","Positive effect (g > 0.2)"
"124","decrease","No effect"
"125","increase","No effect"
"126","increase","Positive effect (g > 0.2)"
"127","increase","No effect"
"128","increase","Positive effect (g > 0.2)"
"129","decrease","Negative effect (g < -0.2)"
"130","decrease","Negative effect (g < -0.2)"
"131","increase","No effect"
"132","decrease","No effect"
"133","increase","Negative effect (g < -0.2)"
"134","decrease","Negative effect (g < -0.2)"
"135","decrease","Negative effect (g < -0.2)"
"136","decrease","No effect"
"137","decrease","Negative effect (g < -0.2)"
"138","decrease","Negative effect (g < -0.2)"
"139","increase","No effect"
"140","increase","No effect"
"141","no change","No effect"
"142","no change","Negative effect (g < -0.2)"
"143","increase","No effect"
"144","increase","No effect"
"145","increase","No effect"
"146","increase","No effect"
"147","increase","No effect"
"148","decrease","No effect"
"149","decrease","No effect"
"150","decrease","No effect"
"151","decrease","No effect"
"152","decrease","Negative effect (g < -0.2)"
"153","decrease","Negative effect (g < -0.2)"
"154","decrease","Negative effect (g < -0.2)"
"155","decrease","Negative effect (g < -0.2)"
"156","decrease","Negative effect (g < -0.2)"
"157","decrease","Negative effect (g < -0.2)"
"158","decrease","Negative effect (g < -0.2)"
"159","decrease","Negative effect (g < -0.2)"
"160","increase","Positive effect (g > 0.2)"
"161","increase","Positive effect (g > 0.2)"
"162","increase","Positive effect (g > 0.2)"
"163","decrease","No effect"
"164","increase","No effect"
"165","increase","Positive effect (g > 0.2)"
"166","decrease","No effect"
"167","increase","Positive effect (g > 0.2)"
"168","increase","Positive effect (g > 0.2)"
"169","decrease","Negative effect (g < -0.2)"
"170","decrease","Negative effect (g < -0.2)"
"171","decrease","Negative effect (g < -0.2)"
"172","increase","Positive effect (g > 0.2)"
"173","increase","Positive effect (g > 0.2)"
"174","increase","Positive effect (g > 0.2)"
"175","increase","Positive effect (g > 0.2)"
"176","increase","Positive effect (g > 0.2)"
"177","increase","Positive effect (g > 0.2)"
"178","increase","No effect"
"179","increase","No effect"
"180","increase","No effect"
"181","increase","Positive effect (g > 0.2)"
"182","increase","Positive effect (g > 0.2)"
"183","increase","Positive effect (g > 0.2)"
"184","no change","No effect"
"185","no change","No effect"
"186","increase","No effect"
"187","increase","No effect"
"188","decrease","Negative effect (g < -0.2)"
"189","increase","Positive effect (g > 0.2)"
"190","increase","Positive effect (g > 0.2)"
"191","increase","Positive effect (g > 0.2)"
"192","increase","Positive effect (g > 0.2)"
"193","increase","Positive effect (g > 0.2)"
"194","increase","Positive effect (g > 0.2)"
"195","increase","Positive effect (g > 0.2)"
"196","increase","Positive effect (g > 0.2)"
"197","increase","Positive effect (g > 0.2)"
"198","increase","No effect"
"199","increase","No effect"
"200","decrease","No effect"
"201","increase","Positive effect (g > 0.2)"
"202","increase","Positive effect (g > 0.2)"
"203","increase","Positive effect (g > 0.2)"
"204","increase","Positive effect (g > 0.2)"
"205","increase","Positive effect (g > 0.2)"
"206","increase","Positive effect (g > 0.2)"
"207","increase","Positive effect (g > 0.2)"
"208","increase","Positive effect (g > 0.2)"
"209","increase","Positive effect (g > 0.2)"
"210","increase","Positive effect (g > 0.2)"
"211","decrease","No effect"
"212","increase","No effect"
"213","decrease","Negative effect (g < -0.2)"
"214","decrease","Negative effect (g < -0.2)"
"215","no change","No effect"
"216","increase","No effect"
"217","decrease","No effect"
"218","decrease","No effect"
"219","decrease","Negative effect (g < -0.2)"
"220","increase","No effect"
"221","decrease","Negative effect (g < -0.2)"
"222","increase","Positive effect (g > 0.2)"
"223","increase","Positive effect (g > 0.2)"
"224","increase","Positive effect (g > 0.2)"
"225","increase","Positive effect (g > 0.2)"
"226","decrease","Negative effect (g < -0.2)"
"227","increase","Positive effect (g > 0.2)"
"228","decrease","No effect"
"229","increase","Positive effect (g > 0.2)"
"230","decrease","No effect"
"231","increase","Positive effect (g > 0.2)"
"232","decrease","No effect"
"233","increase","Positive effect (g > 0.2)"
"234","no change","No effect"
"235","increase","No effect"
"236","increase","No effect"
"237","increase","Positive effect (g > 0.2)"
"238","decrease","Negative effect (g < -0.2)"
"239","increase","No effect"
"240","increase","No effect"
"241","increase","No effect"
"242","increase","Positive effect (g > 0.2)"
"243","no change","No effect"
"244","increase","Positive effect (g > 0.2)"
"245","increase","No effect"
"246","increase","Positive effect (g > 0.2)"
"247","decrease","No effect"
"248","decrease","No effect"
"249","increase","No effect"
"250","increase","No effect"
"251","increase","Positive effect (g > 0.2)"
"252","increase","No effect"
"253","decrease","No effect"
"254","increase","No effect"
"255","decrease","Negative effect (g < -0.2)"
"256","decrease","No effect"
"257","decrease","No effect"
"258","increase","Positive effect (g > 0.2)"
"259","increase","No effect"
"260","decrease","Negative effect (g < -0.2)"
"261","increase","No effect"
"262","decrease","Negative effect (g < -0.2)"
"263","increase","Positive effect (g > 0.2)"
"264","decrease","Negative effect (g < -0.2)"
"265","decrease","Negative effect (g < -0.2)"
"266","decrease","Negative effect (g < -0.2)"
"267","decrease","Negative effect (g < -0.2)"
"268","decrease","Negative effect (g < -0.2)"
"269","decrease","Negative effect (g < -0.2)"
"270","increase","Positive effect (g > 0.2)"
"271","increase","Positive effect (g > 0.2)"
"272","increase","Positive effect (g > 0.2)"
"273","increase","Positive effect (g > 0.2)"
"274","increase","Positive effect (g > 0.2)"
"275","increase","Positive effect (g > 0.2)"
"276","increase","Positive effect (g > 0.2)"
"277","increase","Positive effect (g > 0.2)"
"278","increase","Positive effect (g > 0.2)"
"279","increase","Positive effect (g > 0.2)"
"280","decrease","Negative effect (g < -0.2)"
"281","decrease","No effect"
"282","increase","No effect"
"283","increase","Positive effect (g > 0.2)"
"284","decrease","Negative effect (g < -0.2)"
"285","decrease","Negative effect (g < -0.2)"
"286","decrease","No effect"
"287","increase","No effect"
"288","increase","No effect"
"289","increase","Positive effect (g > 0.2)"
"290","increase","Positive effect (g > 0.2)"
"291","increase","Positive effect (g > 0.2)"
"292","decrease","No effect"
"293","increase","Positive effect (g > 0.2)"
"294","decrease","No effect"
"295","increase","Positive effect (g > 0.2)"
"296","decrease","No effect"
"297","increase","Positive effect (g > 0.2)"
"298","increase","Positive effect (g > 0.2)"
"299","decrease","Negative effect (g < -0.2)"
"300","decrease","Negative effect (g < -0.2)"
"301","decrease","Negative effect (g < -0.2)"
"302","decrease","Negative effect (g < -0.2)"
"303","increase","Positive effect (g > 0.2)"
"304","decrease","Negative effect (g < -0.2)"
"305","decrease","No effect"
"306","increase","Positive effect (g > 0.2)"
"307","decrease","No effect"
"308","decrease","Negative effect (g < -0.2)"
"309","increase","Positive effect (g > 0.2)"
"310","increase","Positive effect (g > 0.2)"
"311","decrease","Negative effect (g < -0.2)"
"312","increase","No effect"
"313","increase","No effect"
"314","decrease","Negative effect (g < -0.2)"
"315","decrease","Negative effect (g < -0.2)"
"316","decrease","Negative effect (g < -0.2)"
"317","increase","No effect"
"318","no change","Positive effect (g > 0.2)"
"319","no change","Positive effect (g > 0.2)"
"320","increase","Positive effect (g > 0.2)"
"321","decrease","No effect"
"322","decrease","No effect"
"323","increase","No effect"
"324","decrease","No effect"
"325","decrease","Negative effect (g < -0.2)"
"326","increase","Positive effect (g > 0.2)"
"327","increase","Positive effect (g > 0.2)"
"328","no change","No effect"
"329","increase","Positive effect (g > 0.2)"
"330","increase","Positive effect (g > 0.2)"
"331","increase","Positive effect (g > 0.2)"
"332","decrease","Negative effect (g < -0.2)"
"333","decrease","No effect"
"334","decrease","No effect"
"335","increase","Positive effect (g > 0.2)"
"336","increase","Positive effect (g > 0.2)"
"337","decrease","No effect"
"338","increase","Positive effect (g > 0.2)"
"339","increase","Positive effect (g > 0.2)"
"340","increase","No effect"
"341","increase","Positive effect (g > 0.2)"
"342","increase","Positive effect (g > 0.2)"
"343","increase","Positive effect (g > 0.2)"
"344","increase","Positive effect (g > 0.2)"
"345","no change","No effect"
"346","increase","Positive effect (g > 0.2)"
"347","increase","No effect"
"348","increase","No effect"
"349","increase","Negative effect (g < -0.2)"
"350","increase","Positive effect (g > 0.2)"
"351","increase","Positive effect (g > 0.2)"
"352","increase","No effect"
"353","increase","Positive effect (g > 0.2)"
"354","increase","No effect"
"355","increase","Positive effect (g > 0.2)"
"356","decrease","Negative effect (g < -0.2)"
"357","decrease","No effect"
"358","decrease","Negative effect (g < -0.2)"
"359","increase","Positive effect (g > 0.2)"
"360","increase","Positive effect (g > 0.2)"
"361","decrease","Negative effect (g < -0.2)"
"362","decrease","Negative effect (g < -0.2)"
"363","increase","Positive effect (g > 0.2)"
"364","decrease","Negative effect (g < -0.2)"
"365","increase","Positive effect (g > 0.2)"
"366","increase","No effect"
"367","decrease","No effect"
"368","decrease","No effect"
"369","decrease","Negative effect (g < -0.2)"
"370","decrease","No effect"
"371","decrease","No effect"
"372","increase","No effect"
"373","decrease","No effect"
"374","increase","No effect"
"375","increase","No effect"
"376","increase","Positive effect (g > 0.2)"
"377","increase","No effect"
"378","decrease","Negative effect (g < -0.2)"
"379","decrease","Negative effect (g < -0.2)"
"380","decrease","No effect"
"381","decrease","Negative effect (g < -0.2)"
"382","decrease","Negative effect (g < -0.2)"
"383","decrease","No effect"
"384","increase","Positive effect (g > 0.2)"
"385","increase","Positive effect (g > 0.2)"
"386","decrease","Negative effect (g < -0.2)"
"387","increase","Positive effect (g > 0.2)"
"388","increase","Positive effect (g > 0.2)"
"389","decrease","Negative effect (g < -0.2)"
"390","increase","No effect"
"391","increase","No effect"
"392","increase","No effect"
"393","decrease","No effect"
"394","decrease","No effect"
"395","decrease","No effect"
"396","decrease","No effect"
"397","decrease","No effect"
"398","decrease","No effect"
"399","decrease","No effect"
"400","increase","Positive effect (g > 0.2)"
"401","increase","Positive effect (g > 0.2)"
"402","decrease","Negative effect (g < -0.2)"
"403","decrease","Negative effect (g < -0.2)"
"404","decrease","Negative effect (g < -0.2)"
"405","increase","No effect"
"406","increase","No effect"
"407","increase","No effect"
"408","increase","No effect"
"409","decrease","No effect"
"410","increase","No effect"
"411","increase","No effect"
"412","increase","Positive effect (g > 0.2)"
"413","increase","No effect"
"414","increase","Positive effect (g > 0.2)"
"415","increase","Positive effect (g > 0.2)"
"416","increase","Positive effect (g > 0.2)"
"417","decrease","No effect"
"418","increase","No effect"
"419","increase","Positive effect (g > 0.2)"
"420","increase","Positive effect (g > 0.2)"
"421","increase","Positive effect (g > 0.2)"
"422","increase","Positive effect (g > 0.2)"
"423","increase","No effect"
"424","decrease","No effect"
"425","decrease","No effect"
"426","increase","Positive effect (g > 0.2)"
"427","increase","No effect"
"428","decrease","No effect"
"429","increase","No effect"
"430","increase","No effect"
"431","increase","Positive effect (g > 0.2)"
"432","decrease","No effect"
"433","increase","No effect"
"434","decrease","No effect"
"435","increase","No effect"
"436","decrease","No effect"
"437","increase","No effect"
"438","increase","No effect"
"439","increase","No effect"
"440","increase","No effect"
"441","decrease","No effect"
"442","increase","Positive effect (g > 0.2)"
"443","decrease","No effect"
"444","increase","No effect"
"445","increase","Positive effect (g > 0.2)"
"446","increase","No effect"
"447","increase","No effect"
"448","decrease","No effect"
"449","decrease","No effect"
"450","decrease","No effect"
"451","increase","Positive effect (g > 0.2)"
"452","increase","Positive effect (g > 0.2)"
"453","increase","Positive effect (g > 0.2)"
"454","increase","Positive effect (g > 0.2)"
"455","decrease","Negative effect (g < -0.2)"
"456","increase","Positive effect (g > 0.2)"
"457","decrease","No effect"
"458","increase","Positive effect (g > 0.2)"
"459","increase","No effect"
"460","increase","No effect"
"461","decrease","No effect"
"462","increase","Positive effect (g > 0.2)"
"463","decrease","No effect"
"464","increase","Positive effect (g > 0.2)"
"465","increase","Positive effect (g > 0.2)"
"466","decrease","No effect"
"467","decrease","Negative effect (g < -0.2)"
"468","increase","Positive effect (g > 0.2)"
"469","increase","Positive effect (g > 0.2)"
"470","decrease","Negative effect (g < -0.2)"
"471","decrease","No effect"
"472","decrease","Negative effect (g < -0.2)"
"473","increase","Negative effect (g < -0.2)"
"474","increase","Positive effect (g > 0.2)"
"475","increase","Positive effect (g > 0.2)"
"476","increase","Positive effect (g > 0.2)"
"477","decrease","Negative effect (g < -0.2)"
"478","decrease","Negative effect (g < -0.2)"
"479","decrease","Negative effect (g < -0.2)"
"480","decrease","Negative effect (g < -0.2)"
"481","decrease","Negative effect (g < -0.2)"
"482","decrease","No effect"
"483","increase","Positive effect (g > 0.2)"
"484","increase","Positive effect (g > 0.2)"
"485","decrease","Negative effect (g < -0.2)"
"486","increase","Positive effect (g > 0.2)"
"487","increase","Positive effect (g > 0.2)"
"488","decrease","Negative effect (g < -0.2)"
"489","decrease","Negative effect (g < -0.2)"
"490","increase","No effect"
"491","decrease","Negative effect (g < -0.2)"
"492","increase","Positive effect (g > 0.2)"
"493","decrease","Negative effect (g < -0.2)"
"494","decrease","No effect"
"495","decrease","No effect"
"496","increase","No effect"
"497","decrease","Negative effect (g < -0.2)"
"498","decrease","Negative effect (g < -0.2)"
"499","decrease","Negative effect (g < -0.2)"
"500","increase","No effect"
"501","increase","Positive effect (g > 0.2)"
"502","increase","Positive effect (g > 0.2)"
"503","increase","Positive effect (g > 0.2)"
"504","increase","Positive effect (g > 0.2)"
"505","decrease","Negative effect (g < -0.2)"
"506","increase","Positive effect (g > 0.2)"
"507","increase","No effect"
"508","decrease","No effect"
"509","increase","Positive effect (g > 0.2)"
"510","increase","Positive effect (g > 0.2)"
"511","decrease","Negative effect (g < -0.2)"
"512","decrease","No effect"
"513","decrease","No effect"
"514","increase","No effect"
"515","decrease","No effect"
"516","increase","Positive effect (g > 0.2)"
"517","increase","No effect"
"518","increase","No effect"
"519","increase","No effect"
"520","increase","No effect"
"521","decrease","Negative effect (g < -0.2)"
"522","decrease","Negative effect (g < -0.2)"
"523","decrease","Negative effect (g < -0.2)"
"524","increase","No effect"
"525","decrease","Negative effect (g < -0.2)"
"526","decrease","No effect"
"527","decrease","No effect"
"528","no change","Negative effect (g < -0.2)"
"529","decrease","No effect"
"530","increase","No effect"
"531","decrease","No effect"
"532","increase","No effect"
"533","increase","No effect"
"534","increase","Positive effect (g > 0.2)"
"535","increase","No effect"
"536","increase","Positive effect (g > 0.2)"
"537","decrease","No effect"
"538","decrease","Negative effect (g < -0.2)"
"539","increase","No effect"
