Disease,Synonyms used,Database,Zoonotic metric,Search terms,Total returns,Titles evaluated,Titles sought for retrieval,Total number of articles for each disease,New studies found,Duplicates,Total number for study ,Dates searched
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Abundance,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Abundance*),925,50,16,16,16,0,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Abundance,((((Alveolar echinococcosis) OR (Hydatid*)) OR (Cystic echinococcosis)) AND (Climat*)) AND (Abundance),2,2,2,17,1,1,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Seroprevalence,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Seroprevalence,1650,50,11,22,5,6,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Seroprevalence,((((Alveolar echinococcosis) AND (Hantid*) OR (Cystic echinococcosis)) ) AND (Climat*)) AND (Seroprevalence,2,2,2,24,2,0,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Cases Or Incidence,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Cases OR Incidence) ,1990,50,12,24,0,12,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Cases Or Incidence,((((Alveolar echinococcosis) AND (Hantid disease) OR (Cystic echinococcosis)) ) AND (Climat*)) AND ((cases) OR (incidence)),58,50,8,28,4,4,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Every metric,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence) ,2060,50,7,30,2,5,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Every metric,((((Alveolar echinococcosis) AND (Hantid disease) OR (Cystic echinococcosis)) ) AND (Climat*)) AND ((cases) OR (incidence) OR (abundance) OR (Seroprevalence)),58,50,10,31,1,9,31,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Abundance,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Abundance),4830,50,9,9,9,0,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",PubMed,Abundance,((((Leptospirosis) OR (Weil's*)) OR (Canicola fever)) AND (Climat*)) AND (Abundance),13,13,5,13,4,1,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Seroprevalence,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Seroprevalence),8290,50,15,28,15,0,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",PubMed,Seroprevalence,((((Leptospirosis) OR (Weil's*)) OR (Canicola fever)) AND (Climat*)) AND (Seroprevalence),30,30,9,35,7,2,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Cases Or Incidence,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Cases OR Incidence) ,12600,50,15,50,15,0,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",PubMed,Cases Or Incidence,((((Leptospirosis) OR (Weil's*)) OR (Canicola fever)) AND (Climat*)) AND ((Cases) OR (Incidence)),211,50,13,56,6,7,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Every metric,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence) ,13100,50,17,59,3,14,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",PubMed,Every metric,((((Leptospirosis) OR (Weil's*)) OR (Canicola fever)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),216,50,7,60,1,6,91,11/15/22
Monkeypox,n/a,Scholar,Abundance,(Monkeypox) AND (Climat*) AND (Abundance),1730,50,7,7,7,0,,11/15/22
Monkeypox,n/a,PubMed,Abundance,((Monkeypox) AND (Climat*)) AND (Abundance),0,0,0,7,0,0,,11/15/22
Monkeypox,n/a,Scholar,Seroprevalence,(Monkeypox) AND (Climat*) AND (Seroprevalence,1720,50,11,14,7,4,,11/15/22
Monkeypox,n/a,PubMed,Seroprevalence,((Monkeypox) AND (Climat*)) AND (Seroprevalence,0,0,0,14,0,0,,11/15/22
Monkeypox,n/a,Scholar,Cases Or Incidence,(Monkeypox) AND (Climat*) AND (Cases OR Incidence),4090,50,4,18,4,0,,11/15/22
Monkeypox,n/a,PubMed,Cases Or Incidence,((Monkeypox) AND (Climat*)) AND ((Cases) OR (Incidence)),12,0,0,18,0,0,,11/15/22
Monkeypox,n/a,Scholar,Every metric,(Monkeypox) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),4600,50,7,19,1,6,,11/15/22
Monkeypox,n/a,PubMed,Every metric,((Monkeypox) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),12,12,0,19,0,0,110,11/15/22
Ohio valley disease,Histoplasmosis,Scholar,Abundance,(Ohio valley disease OR Histoplasmosis) AND (Climat*) AND (Abundance),18500,50,4,4,4,0,,11/15/22
Ohio valley disease,Histoplasmosis,PubMed,Abundance,(((Ohio valley disease) OR (Histoplasmosis)) AND (Climat*)) AND (Abundance*),1,0,0,4,0,0,,11/15/22
Ohio valley disease,Histoplasmosis,Scholar,Seroprevalence,(Ohio valley disease OR Histoplasmosis) AND (Climat*) AND (Seroprevalence,17900,50,1,5,1,0,,11/15/22
Ohio valley disease,Histoplasmosis,PubMed,Seroprevalence,(((Ohio valley disease) OR (Histoplasmosis)) AND (Climat*)) AND (Seroprevalence,0,0,0,5,0,0,,11/15/22
Ohio valley disease,Histoplasmosis,Scholar,Cases Or Incidence,(Ohio valley disease OR Histoplasmosis) AND (Climat*) AND (Cases OR Incidence),20600,50,6,9,4,2,,11/15/22
Ohio valley disease,Histoplasmosis,PubMed,Cases Or Incidence,(((Ohio valley disease) OR (Histoplasmosis)) AND (Climat*)) AND ((Cases) OR (Incidence)),33,33,2,11,2,0,,11/15/22
Ohio valley disease,Histoplasmosis,Scholar,Every metric,(Ohio valley disease OR Histoplasmosis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),20400,50,4,14,3,1,,11/15/22
Ohio valley disease,Histoplasmosis,PubMed,Every metric,(((Ohio valley disease) OR (Histoplasmosis)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),34,34,1,14,0,1,124,11/15/22
Brucellosis,n/a,Scholar,Abundance,(Brucellosis) AND (Climat*) AND (Abundance),9830,50,10,9,9,1,,11/15/22
Brucellosis,n/a,PubMed,Abundance,((Brucellosis) AND (Climat*)) AND (Abundance),2,0,0,9,0,0,,11/15/22
Brucellosis,n/a,Scholar,Seroprevalence,(Brucellosis) AND (Climat*) AND (Seroprevalence,13200,50,19,23,14,5,,11/15/22
Brucellosis,n/a,PubMed,Seroprevalence,((Brucellosis) AND (Climat*)) AND (Seroprevalence,8,8,1,23,0,1,,11/15/22
Brucellosis,n/a,Scholar,Cases Or Incidence,(Brucellosis) AND (Climat*) AND (Cases OR Incidence),22400,50,33,48,25,8,,11/15/22
Brucellosis,n/a,PubMed,Cases Or Incidence,((Brucellosis) AND (Climat*)) AND ((Cases) OR (Incidence)),55,50,10,48,0,10,,11/15/22
Brucellosis,n/a,Scholar,Every metric,(Brucellosis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),22900,50,16,52,4,12,,11/15/22
Brucellosis,n/a,PubMed,Every metric,((Brucellosis) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),57,50,8,53,1,7,177,11/15/22
Leprosy,Hansen's disease,Scholar,Abundance,(Leprosy OR Hansen's disease) AND (Climat*) AND (Abundance),16500,50,2,2,2,0,,11/15/22
Leprosy,Hansen's disease,PubMed,Abundance,(((Leprosy) OR (Hansen's disease)) AND (Climat*)) AND (Abundance),0,0,0,2,0,0,,11/15/22
Leprosy,Hansen's disease,Scholar,Seroprevalence,(Leprosy OR Hansen's disease) AND (Climat*) AND (Seroprevalence,16200,50,5,3,1,4,,11/15/22
Leprosy,Hansen's disease,PubMed,Seroprevalence,(((Leprosy) OR (Hansen's disease)) AND (Climat*)) AND (Seroprevalence,0,0,1,3,0,1,,11/15/22
Leprosy,Hansen's disease,Scholar,Cases Or Incidence,(Leprosy OR Hansen's disease) AND (Climat*) AND (Cases OR Incidence),41900,50,9,7,4,5,,11/15/22
Leprosy,Hansen's disease,PubMed,Cases Or Incidence,(((Leprosy) OR (Hansen's disease)) AND (Climat*)) AND ((Cases) OR (Incidence)),49,49,0,7,0,0,,11/15/22
Leprosy,Hansen's disease,Scholar,Every metric,(Leprosy OR Hansen's disease) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),42900,50,8,11,4,4,,11/15/22
Leprosy,Hansen's disease,PubMed,Every metric,(((Leprosy) OR (Hansen's disease)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),48,48,0,11,0,0,188,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,Scholar,Abundance,(Hemorrhagic Fever with renal syndrome OR Haemorrhagic Fever with renal syndrome) AND (climat*) AND (abundance),17800,50,28,26,26,2,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,PubMed,Abundance,(((Hemorrhagic fever with renal syndrome) OR (Haemorrhagic fever with renal syndrome)) AND (Climat*)) AND (Abundance*),103,50,5,28,2,3,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,Scholar,Seroprevalence,(Hemorrhagic Fever with renal syndrome OR Haemorrhagic Fever with renal syndrome) AND (Climat*) AND (Seroprevalence,11300,50,10,38,10,0,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,PubMed,Seroprevalence,(((Hemorrhagic fever with renal syndrome) OR (Haemorrhagic fever with renal syndrome)) AND (Climat*)) AND (Seroprevalence,5,5,3,41,3,0,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,Scholar,Cases Or Incidence,(Hemorrhagic Fever with renal syndrome OR Haemorrhagic Fever with renal syndrome) AND (climat*) AND (Cases OR Incidence),17300,50,10,51,10,0,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,PubMed,Cases Or Incidence,(((Hemorrhagic fever with renal syndrome) OR (Haemorrhagic fever with renal syndrome)) AND (Climat*)) AND (Cases OR Incidence),82,50,29,57,6,23,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,Scholar,Every metric,(Hemorrhagic Fever with renal syndrome OR Haemorrhagic Fever with renal syndrome) AND (climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),17500,50,32,61,4,28,,11/15/22
Hemorrhagic fever ,Haemorrhagic fever,PubMed,Every metric,(((Hemorrhagic fever with renal syndrome) OR (Haemorrhagic fever with renal syndrome)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),83,50,1,62,1,0,250,11/15/22
Rabies ,n/a,Scholar,Abundance,(Rabies) AND (Climat*) AND (Abundance),20300,50,13,12,12,1,,11/16/22
Rabies ,n/a,PubMed,Abundance,((Rabies) AND (Climat*)) AND (Abundance),5,5,0,12,0,0,,11/16/22
Rabies ,n/a,Scholar,Seroprevalence,(Rabies) AND (Climat*) AND (Seroprevalence,16200,50,9,21,9,0,,11/16/22
Rabies ,n/a,PubMed,Seroprevalence,((Rabies) AND (Climat*)) AND (Seroprevalence,3,2,2,23,2,0,,11/16/22
Rabies ,n/a,Scholar,Cases Or Incidence,(Rabies) AND (Climat) AND (Cases OR Incidence),31000,50,11,34,11,0,,11/16/22
Rabies ,n/a,PubMed,Cases Or Incidence,((Rabies) AND (Climat*)) AND ((Cases) OR (Incidence)),73,50,8,38,4,4,,11/16/22
Rabies ,n/a,Scholar,Every metric,(Rabies) AND (Climat) AND (Cases OR Incidence OR Abundance OR Seroprevalence),31900,50,10,39,1,9,,11/16/22
Rabies ,n/a,PubMed,Every metric,((Rabies) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),75,50,4,40,1,3,290,11/16/22
Lassa fever,n/a,Scholar,Abundance,(Lassa*) AND (Climat) AND (Abundance),2840,50,4,4,4,0,,11/16/22
Lassa fever,n/a,PubMed,Abundance,((Lassa*) AND (Climat)) AND (Abundance),2,2,1,5,1,0,,11/16/22
Lassa fever,n/a,Scholar,Seroprevalence,(Lassa*) AND (Climat) AND (Seroprevalence,4760,50,7,9,4,3,,11/16/22
Lassa fever,n/a,PubMed,Seroprevalence,((Lassa*) AND (Climat)) AND (Seroprevalence,2,2,0,9,0,0,,11/16/22
Lassa fever,n/a,Scholar,Cases Or Incidence,(Lassa*) AND (Climat) AND (Cases OR Incidence),10100,50,6,13,4,2,,11/16/22
Lassa fever,n/a,PubMed,Cases Or Incidence,((Lassa*) AND (Climat)) AND ((Cases) OR (Incidence)),32,32,3,15,2,1,,11/16/22
Lassa fever,n/a,Scholar,Every metric,(Lassa*) AND (Climat) AND (Cases OR Incidence OR Abundance OR Seroprevalence),8360,50,5,17,2,3,,11/16/22
Lassa fever,n/a,PubMed,Every metric,((Lassa*) AND (Climat)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),33,33,2,17,0,2,307,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",Scholar,Abundance,(Nephropathia epidemica OR Hantaan OR Puumala) AND (Climat*) AND (Abundance),1880,50,25,20,20,5,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",PubMed,Abundance,((((Nephropathia) OR (Hantaan*)) OR (Puumala*)) AND (Climat*)) AND (Abundance),11,11,8,22,2,6,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",Scholar,Seroprevalence,(Nephropathia epidemica OR Hantaan OR Puumala) AND (Climat*) AND (Seroprevalence,3830,50,17,27,5,12,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",PubMed,Seroprevalence,((((Nephropathia) OR (Hantaan*)) OR (Puumala*)) AND (Climat*)) AND (Seroprevalence,6,6,1,27,0,1,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",Scholar,Cases Or Incidence,(Nephropathia epidemica OR Hantaan OR Puumala) AND (Climat*) AND (Cases OR Incidence),4920,50,12,30,3,9,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",PubMed,Cases Or Incidence,((((Nephropathia) OR (Hantaan*)) OR (Puumala*)) AND (Climat*)) AND ((Cases) OR (Incidence)),49,49,9,34,4,5,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",Scholar,Every metric,(Nephropathia epidemica OR Hantaan OR Puumala) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),4880,50,14,36,2,12,,11/16/22
Nephropathia epidemica,"Hantaan, Puumala",PubMed,Every metric,((((Nephropathia) OR (Hantaan*)) OR (Puumala*)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),51,50,8,36,0,8,343,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",Scholar,Abundance,(Hantavirus* OR Orthohantavirus* OR Seoul virus* OR Tula virus*) AND (Climat*) AND (Abundance)),4330,50,22,21,21,1,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",PubMed,Abundance,((((Hantavirus*) OR (Orthohantavirus*)) OR (Seoul virus*) OR (Tula virus*)) AND (Climat*)) AND (Abundance*),21,21,7,24,3,4,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",Scholar,Seroprevalence,(Hantavirus* OR Orthohantavirus* OR Seoul virus* OR Tula virus*) AND (Climat*) AND (Seroprevalence,5330,50,15,32,8,7,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",PubMed,Seroprevalence,((((Hantavirus*) OR (Orthohantavirus*)) OR (Seoul virus*) OR (Tula virus*)) AND (Climat*)) AND (Seroprevalence,8,8,0,32,0,0,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",Scholar,Cases Or Incidence,(Hantavirus* OR Orthohantavirus* OR Seoul virus* OR Tula virus*) AND (Climat) AND (Cases OR Incidence),8030,50,14,40,8,6,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",PubMed,Cases Or Incidence,((((Hantavirus*) OR (Orthohantavirus*)) OR (Seoul virus*) OR (Tula virus*)) AND (Climat*)) AND ((Cases) OR (Incidence)),121,50,12,46,6,6,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",Scholar,Every metric,(Hantavirus* OR Orthohantavirus* OR Seoul virus* OR Tula virus*) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),7700,50,14,49,3,11,,11/16/22
Hantaviral Disease,"Orthohantavirus, Seoul virus, Tula virus",PubMed,Every metric,((((Hantavirus*) OR (Orthohantavirus*)) OR (Seoul virus*) OR (Tula virus*)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),128,50,3,50,1,2,393,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",Scholar,Abundance,(hantavirus pulmonary syndrome OR hantavirus cardiopulmonary syndrome OR Sin nombre*) AND (Climat) AND (Abundance),344,50,10,9,9,1,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",PubMed,Abundance,((((Hantavirus pulmonary syndrome) OR (Hantavirus cardiopulmonary syndrome)) OR (Sin Nombre*)) AND (Climat*)) AND (Abundance),10,10,5,14,5,0,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",Scholar,Seroprevalence,(hantavirus pulmonary syndrome OR hantavirus cardiopulmonary syndrome OR Sin nombre*) AND (Climat) AND (Seroprevalence,491,50,8,17,3,5,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",PubMed,Seroprevalence,((((Hantavirus pulmonary syndrome) OR (Hantavirus cardiopulmonary syndrome)) OR (Sin Nombre*)) AND (Climat*)) AND (Seroprevalence,4,4,1,17,0,1,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",Scholar,Cases Or Incidence,(hantavirus pulmonary syndrome OR hantavirus cardiopulmonary syndrome OR Sin nombre*) AND (Climat) AND (Cases OR Incidence),635,50,11,23,6,5,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",PubMed,Cases Or Incidence,((((Hantavirus pulmonary syndrome) OR (Hantavirus cardiopulmonary syndrome)) OR (Sin Nombre*)) AND (Climat*)) AND ((Cases) OR (Incidence)),35,35,7,24,1,6,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",Scholar,Every metric,(hantavirus pulmonary syndrome OR hantavirus cardiopulmonary syndrome OR Sin nombre*) AND (Climat) AND (Cases OR Incidence OR Abundance OR Seroprevalence),583,50,9,27,3,6,,11/16/22
Hantavirus Pulmonary Syndrome,"Hantavirus cardiopulmonary syndrome, Sin nombre",PubMed,Every metric,((((Hantavirus pulmonary syndrome) OR (Hantavirus cardiopulmonary syndrome)) OR (Sin Nombre*)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),38,38,6,27,0,6,420,11/16/22
Nipah virus,n/a,Scholar,Abundance,(Nipah*) AND (Climat*) AND (Abundance),3050,50,10,9,9,1,,11/16/22
Nipah virus,n/a,PubMed,Abundance,((Nipah*) AND (Climat*)) AND (Abundance),0,0,0,9,0,0,,11/16/22
Nipah virus,n/a,Scholar,Seroprevalence,(Nipah*) AND (Climat*) AND (Seroprevalence,3280,50,5,13,4,1,,11/16/22
Nipah virus,n/a,PubMed,Seroprevalence,((Nipah*) AND (Climat*)) AND (Seroprevalence,0,0,0,13,0,0,,11/16/22
Nipah virus,n/a,Scholar,Cases Or Incidence,(Nipah*) AND (Climat*) AND (Cases OR Incidence),6530,50,3,15,2,1,,11/16/22
Nipah virus,n/a,PubMed,Cases Or Incidence,((Nipah*) AND (Climat*)) AND ((Cases) OR (Incidence)),17,17,1,16,1,0,,11/16/22
Nipah virus,n/a,Scholar,Every metric,(Nipah*) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),6600,50,2,17,1,1,,11/16/22
Nipah virus,n/a,PubMed,Every metric,((Nipah*) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),17,17,0,17,0,0,437,11/16/22
Hendra virus,n/a,Scholar,Abundance,(Hendra virus) AND (Climat*) AND (Abundance),2670,50,8,8,8,0,,11/17/22
Hendra virus,n/a,PubMed,Abundance,((Hendra virus) AND (Climat*)) AND (Abundance),2,2,0,8,0,0,,11/17/22
Hendra virus,n/a,Scholar,Seroprevalence,(Hendra virus) AND (Climat*) AND (Seroprevalence,3600,12,7,15,7,0,,11/17/22
Hendra virus,n/a,PubMed,Seroprevalence,((Hendra virus) AND (climat*)) AND (Seroprevalence,1,1,0,15,0,0,,11/17/22
Hendra virus,n/a,Scholar,Cases Or Incidence,(Hendra virus) AND (Climat*) AND (Cases OR Incidence),6180,50,11,20,5,6,,11/17/22
Hendra virus,n/a,PubMed,Cases Or Incidence,((Hendra virus) AND (Climat*)) AND (Cases OR Incidence),15,15,4,21,1,3,,11/17/22
Hendra virus,n/a,Scholar,Every metric,(Hendra virus) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),6050,50,6,23,2,4,,11/17/22
Hendra virus,n/a,PubMed,Every metric,((Hendra virus) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),17,17,1,23,0,1,460,11/17/22
