Disease,Synonyms used,Database,Zoonotic metric,Search terms,Total returns,Titles evaluated,Titles sought for retrieval,Total number of articles for each disease,New studies found,Duplicates,Total number for study ,Dates searched
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",Scholar,Abundance,(Siberian tick typhus OR North asian tick typhus OR rickettsia siberica) AND (Climat*) AND (Abundance),119,50,1,1,1,0,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",PubMed,Abundance,((((Siberian tick typhus) OR (North asian tick typhus)) OR (Rickettsia sibirica)) AND (Climat*)) AND (Abundance),4,4,1,2,1,0,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",Scholar,Seroprevalence,(Siberian tick typhus OR North asian tick typhus OR rickettsia siberica) AND (Climat*) AND (Seroprevalence),146,50,1,3,1,0,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",PubMed,Seroprevalence,((((Siberian tick typhus) OR (North asian tick typhus)) OR (Rickettsia sibirica)) AND (Climat*)) AND (Seroprevalence),1,1,0,4,1,-1,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",Scholar,Cases Or Incidence,(Siberian tick typhus OR North asian tick typhus OR rickettsia siberica) AND (Climat*) AND (Cases OR Incidence),173,50,2,4,0,2,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",PubMed,Cases Or Incidence,((((Siberian tick typhus) OR (North asian tick typhus)) OR (Rickettsia sibirica)) AND (Climat*)) AND (Cases OR Incidence),24,24,4,6,2,2,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",Scholar,Every metric,(Siberian tick typhus OR North asian tick typhus OR rickettsia siberica) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),181,50,1,7,1,0,,11/22/22
Siberian tick typhus,"north asian tick typhus, rickettsia sibirica",PubMed,Every metric,((((Siberian tick typhus) OR (North asian tick typhus)) OR (Rickettsia sibirica)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),26,26,1,8,1,0,946,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",Scholar,Abundance,(Queensland tick typhus OR Australian tick typhus OR Rickettsia australis AND (Climat*) AND (Abundance),555,50,3,2,2,1,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",PubMed,Abundance,((((Queensland tick typhus) OR (Australian tick typhus)) OR (Rickettsia australis)) AND (Climat*)) AND (Abundance),4,4,0,2,0,0,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",Scholar,Seroprevalence,(Queensland tick typhus OR Australian tick typhus OR Rickettsia australis AND (Climat*) AND (Seroprevalence),638,50,1,3,1,0,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",PubMed,Seroprevalence,((((Queensland tick typhus) OR (Australian tick typhus)) OR (Rickettsia australis)) AND (Climat*)) AND (Seroprevalence),1,1,0,3,0,0,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",Scholar,Cases Or Incidence,(Queensland tick typhus OR Australian tick typhus OR Rickettsia australis AND (Climat*) AND (Cases OR Incidence),873,50,1,3,0,1,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",PubMed,Cases Or Incidence,((((Queensland tick typhus) OR (Australian tick typhus)) OR (Rickettsia australis)) AND (Climat*)) AND ((Cases) OR (Incidence)),26,26,1,4,1,0,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",Scholar,Every metric,(Queensland tick typhus OR Australian tick typhus OR Rickettsia australis AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),909,50,3,4,0,3,,11/22/22
Queensland tick typhus,"Australian tick typhus, rickettsia australis",PubMed,Every metric,((((Queensland tick typhus) OR (Australian tick typhus)) OR (Rickettsia australis)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),28,28,0,4,0,0,950,11/22/22
Flinders island spotted fever,rickettsia honei,Scholar,Abundance,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND (Abundance),99,50,0,0,0,0,,11/22/22
Flinders island spotted fever,rickettsia honei,PubMed,Abundance,((Flinders island spotted fever) AND (Climat*)) AND (Abundance),4,4,0,0,0,0,,11/22/22
Flinders island spotted fever,rickettsia honei,Scholar,Seroprevalence,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND (Seroprevalence),127,50,1,1,1,0,,11/22/22
Flinders island spotted fever,rickettsia honei,PubMed,Seroprevalence,((Flinders island spotted fever) AND (Climat*)) AND (Seroprevalence),1,1,0,1,0,0,,11/22/22
Flinders island spotted fever,rickettsia honei,Scholar,Cases Or Incidence,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND (Cases OR Incidence),153,50,2,2,1,1,,11/22/22
Flinders island spotted fever,rickettsia honei,PubMed,Cases Or Incidence,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND ((Cases) OR (Incidence)),24,24,0,2,0,0,,11/22/22
Flinders island spotted fever,rickettsia honei,Scholar,Every metric,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),159,50,0,2,0,0,,11/22/22
Flinders island spotted fever,rickettsia honei,PubMed,Every metric,(Flinders island spotted fever OR rickettsia honei) AND (Climat*) AND ((Abundance) OR (Seroprevalence) OR (Cases) OR (Incidence)),26,26,5,5,3,2,955,11/22/22
Japanese spotted fever,rickettsia japonica,Scholar,Abundance,(Japanese spotted fever OR Rickettsia japonica) AND (Climat*) AND (Abundance),951,50,3,3,3,0,,11/22/22
Japanese spotted fever,rickettsia japonica,PubMed,Abundance,(((Japanese spotted fever) OR (Rickettsia japonica)) AND (Climat*)) AND (Abundance),5,5,0,3,0,0,,11/22/22
Japanese spotted fever,rickettsia japonica,Scholar,Seroprevalence,(Japanese spotted fever OR Rickettsia japonica) AND (Climat*) AND (Seroprevalence),509,50,1,4,1,0,,11/22/22
Japanese spotted fever,rickettsia japonica,PubMed,Seroprevalence,(((Japanese spotted fever) OR (Rickettsia japonica)) AND (Climat*)) AND (Seroprevalence),1,1,0,4,0,0,,11/22/22
Japanese spotted fever,rickettsia japonica,Scholar,Cases Or Incidence,(Japanese spotted fever OR Rickettsia japonica) AND (Climat*) AND (Cases OR Incidence),881,50,1,4,0,1,,11/22/22
Japanese spotted fever,rickettsia japonica,PubMed,Cases Or Incidence,((Japanese spotted fever) OR (Rickettsia japonica)) AND (Climat*) AND ((Cases) OR (Incidence)),23,23,0,4,0,0,,11/22/22
Japanese spotted fever,rickettsia japonica,Scholar,Every metric,(Japanese spotted fever OR Rickettsia japonica) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),950,50,1,4,0,1,,11/22/22
Japanese spotted fever,rickettsia japonica,PubMed,Every metric,((Japanese spotted fever) OR (Rickettsia japonica)) AND (Climat*) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),26,26,0,4,0,0,959,11/22/22
American tick-bite fever,rickettsia parkeri,Scholar,Abundance,(American tick-bite fever OR Rickettsia parkeri) AND (Climat*) AND (Abundance),414,50,4,3,3,1,,11/22/22
American tick-bite fever,rickettsia parkeri,PubMed,Abundance,(((American tick-bite fever) OR (Rickettsia parkeri)) AND (Climat*)) AND (Abundance),1,1,1,4,1,0,,11/22/22
American tick-bite fever,rickettsia parkeri,Scholar,Seroprevalence,(American tick-bite fever OR Rickettsia parkeri) AND (Climat*) AND (Seroprevalence),521,50,3,5,1,2,,11/22/22
American tick-bite fever,rickettsia parkeri,PubMed,Seroprevalence,(((American tick-bite fever) OR (Rickettsia parkeri)) AND (Climat*)) AND (Seroprevalence),0,0,0,5,0,0,,11/22/22
American tick-bite fever,rickettsia parkeri,Scholar,Cases Or Incidence,(American tick-bite fever OR Rickettsia parkeri) AND (Climat*) AND (Cases OR Incidence),615,50,2,6,1,1,,11/22/22
American tick-bite fever,rickettsia parkeri,PubMed,Cases Or Incidence,(((American tick-bite fever) OR (Rickettsia parkeri)) AND (Climat*)) AND ((Cases) OR (Incidence)),1,1,0,6,0,0,,11/22/22
American tick-bite fever,rickettsia parkeri,Scholar,Every metric,(American tick-bite fever OR Rickettsia parkeri) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),636,50,2,6,0,2,,11/22/22
American tick-bite fever,rickettsia parkeri,PubMed,Every metric,(((American tick-bite fever) OR (Rickettsia parkeri)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),3,0,0,6,0,0,965,11/22/22
Sealpox,n/a,Scholar,Abundance,(Sealpox) AND (Climat*) AND (Abundance),29,29,1,1,1,0,,11/22/22
Sealpox,n/a,PubMed,Abundance,((Sealpox) AND (Climat*)) AND (Abundance),0,0,0,1,0,0,,11/22/22
Sealpox,n/a,Scholar,Seroprevalence,(Sealpox) AND (Climat*) AND (Seroprevalence),45,45,0,1,0,0,,11/22/22
Sealpox,n/a,PubMed,Seroprevalence,((Sealpox) AND (Climat*)) AND (Seroprevalence),0,0,0,1,0,0,,11/22/22
Sealpox,n/a,Scholar,Cases Or Incidence,(Sealpox) AND (Climat*) AND (Cases OR Incidence),58,50,0,1,0,0,,11/22/22
Sealpox,n/a,PubMed,Cases Or Incidence,((Sealpox) AND (Climat*)) AND ((Cases) OR (Incidence)),0,0,0,1,0,0,,11/22/22
Sealpox,n/a,Scholar,Every metric,(Sealpox) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),64,50,0,1,0,0,,11/22/22
Sealpox,n/a,PubMed,Every metric,((Sealpox) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),0,0,0,1,0,0,966,11/22/22
Lymphocytic choriomeningitis,n/a,Scholar,Abundance,(Lymphocytic choriomeningitis) AND (Climat*) AND (Abundance),1160,50,3,2,2,1,,11/22/22
Lymphocytic choriomeningitis,n/a,PubMed,Abundance,((Lymphocytic choriomeningitis) AND (Climat*)) AND (Abundance),0,0,0,2,0,0,,11/22/22
Lymphocytic choriomeningitis,n/a,Scholar,Seroprevalence,(Lymphocytic choriomeningitis) AND (Climat*) AND (Seroprevalence),1060,50,5,2,0,5,,11/22/22
Lymphocytic choriomeningitis,n/a,PubMed,Seroprevalence,((Lymphocytic choriomeningitis) AND (Climat*)) AND (Seroprevalence),0,0,0,2,0,0,,11/22/22
Lymphocytic choriomeningitis,n/a,Scholar,Cases Or Incidence,(Lymphocytic choriomeningitis) AND (Climat*) AND (Cases OR Incidence),2140,50,0,2,0,0,,11/22/22
Lymphocytic choriomeningitis,n/a,PubMed,Cases Or Incidence,(Lymphocytic choriomeningitis) AND (Climat*) AND ((Cases) OR (Incidence)),0,0,0,2,0,0,,11/22/22
Lymphocytic choriomeningitis,n/a,Scholar,Every metric,(Lymphocytic choriomeningitis) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),2350,50,0,2,0,0,,11/22/22
Lymphocytic choriomeningitis,n/a,PubMed,Every metric,((Lymphocytic choriomeningitis) AND (Climat*)) AND ((Abundance) OR (Seroprevalence) OR (Cases) OR (Incidence)),1,0,0,2,0,0,968,11/22/22
giardiasis,n/a,Scholar,Abundance,(Giardiasis) AND (Climat*) AND (Abundance),10700,50,3,3,3,0,,11/22/22
giardiasis,n/a,PubMed,Abundance,((Giardiasis) AND (Climat*)) AND (Abundance),0,0,0,3,0,0,,11/22/22
giardiasis,n/a,Scholar,Seroprevalence,(Giardiasis) AND (Climat*) AND (Seroprevalence),13300,50,2,5,2,0,,11/22/22
giardiasis,n/a,PubMed,Seroprevalence,((Giardiasis) AND (Climat*)) AND (Seroprevalence),0,0,0,5,0,0,,11/22/22
giardiasis,n/a,Scholar,Cases Or Incidence,(Giardiasis) AND (Climat*) AND (Cases OR Incidence),20000,50,12,17,12,0,,11/22/22
giardiasis,n/a,PubMed,Cases Or Incidence,((Giardiasis) AND (Climat*)) AND (Cases OR Incidence),52,50,8,18,1,7,,11/22/22
giardiasis,n/a,Scholar,Every metric,(Giardiasis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),20300,50,5,19,1,4,,11/22/22
giardiasis,n/a,PubMed,Every metric,((Giardiasis) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),52,50,7,20,1,6,988,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,Scholar,Abundance,(Zoonotic tuberculosis OR Bovine tuberculosis) AND (Climat*) AND (Abundance),7200,50,4,4,4,0,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,PubMed,Abundance,((((Zoonotic tuberculosis) ) OR (Bovine tuberculosis)) AND (Climat*)) AND (Abundance),2,2,0,4,0,0,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,Scholar,Seroprevalence,(Zoonotic tuberculosis OR Bovine tuberculosis) AND (Climat*) AND (Seroprevalence),13200,50,3,7,3,0,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,PubMed,Seroprevalence,((((Zoonotic tuberculosis) ) OR (Bovine tuberculosis)) AND (Climat*)) AND (Seroprevalence),0,0,0,7,0,0,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,Scholar,Cases Or Incidence,(Zoonotic tuberculosis OR Bovine tuberculosis) AND (Climat*) AND (Cases OR Incidence),16400,50,3,10,3,0,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,PubMed,Cases Or Incidence,((((Zoonotic tuberculosis) ) OR (Bovine tuberculosis)) AND (Climat*)) AND ((Cases) OR (Incidence)),24,24,4,12,2,2,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,Scholar,Every metric,(Zoonotic tuberculosis OR Bovine tuberculosis) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),16700,50,4,14,2,2,,11/22/22
zoonotic tuberculosis,Bovine tuberculosis,PubMed,Every metric,((((Zoonotic tuberculosis) ) OR (Bovine tuberculosis)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),25,25,1,14,0,1,1002,11/22/22
Rift valley fever,n/a,Scholar,Abundance,(Rift Valley Fever) AND (Climat*) AND (Abundance),18000,50,8,5,5,3,,11/22/22
Rift valley fever,n/a,PubMed,Abundance,((Rift valley fever) AND (Climat*)) AND (Abundance),24,24,2,7,2,0,,11/22/22
Rift valley fever,n/a,Scholar,Seroprevalence,((Rift Valley Fever) AND (Climat*)) AND (Seroprevalence),16900,50,6,10,3,3,,11/22/22
Rift valley fever,n/a,PubMed,Seroprevalence,((Rift valley fever) AND (Climat*)) AND (Seroprevalence),15,15,3,13,3,0,,11/22/22
Rift valley fever,n/a,Scholar,Cases Or Incidence,(Rift Valley Fever) AND (Climat*) AND (Cases OR Incidence),18000,50,12,20,7,5,,11/22/22
Rift valley fever,n/a,PubMed,Cases Or Incidence,((Rift valley fever) AND (Climat*)) AND ((Cases) OR (Incidence)),127,50,10,26,6,4,,11/22/22
Rift valley fever,n/a,Scholar,Every metric,(Rift Valley Fever) AND (Climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence),18400,50,5,28,2,3,,11/22/22
Rift valley fever,n/a,PubMed,Every metric,((Rift valley fever) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),136,50,2,29,1,1,1031,11/22/22
Fascioliasis,Liver fluke disease,Scholar,Abundance,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*))) AND (Abundance),5740,50,7,7,,7,,3/28/23
Fascioliasis,Liver fluke disease,PubMed,Abundance,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*))) AND (Abundance),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,Scholar,Seroprevalence,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*))) AND (Seroprevalence),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,PubMed,Seroprevalence,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*)))AND (Seroprevalence),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,Scholar,Cases Or Incidence,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*)))AND (Cases OR Incidence),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,PubMed,Cases Or Incidence,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*)))AND ((Cases) OR (Incidence)),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,Scholar,Every metric,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*))) AND (Abundance OR Seroprevalence OR Cases OR Incidence),,,,,,,,3/28/23
Fascioliasis,Liver fluke disease,PubMed,Every metric,(((Fascioliasis) OR (Liver fluke disease)) AND (Climat*))) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),,,,,,,,3/28/23
Yellow fever [2022],,Scholar,Abundance,,16300,50,44,44,44,0,,
Yellow fever [2022],,Scholar,Seroprevalence,,16000,50,34,65,21,13,,
Yellow fever [2022],,Scholar,Cases Or Incidence,,17900,50,33,74,9,24,,
Yellow fever [2022],,Scholar,Every metric,,18100,50,38,75,1,37,,
Yellow fever [2022],,PubMed,Abundance,,19,19,16,86,11,5,,
Yellow fever [2022],,PubMed,Seroprevalence,,5,2,0,86,0,0,,
Yellow fever [2022],,PubMed,Cases Or Incidence,,119,50,20,93,7,13,,
Yellow fever [2022],,PubMed,Every metric,,127,50,20,94,1,19,1125,
Q-fever [2022],"coxiellosis, Coxiella burnetii",Scholar,Abundance,"(""Q fever"" OR ""Q-fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climate) AND (Abundance)","3,490",50,20,20,20,0,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",Scholar,Seroprevalence,"(""Q fever"" OR ""Q-fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climate) AND (Seroprevalence)","4,290",50,11,31,11,0,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",Scholar,Cases Or Incidence,"(""Q fever"" OR ""Q-fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climate) AND (Cases OR Incidence)","7,190",50,16,43,12,4,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",Scholar,Every metric,"(""Q fever"" OR ""Q-fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climate) AND (Abundance OR Seroprevalence OR Cases OR Incidence)",7660,50,14,44,1,13,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",PubMed,Abundance,"(""Q Fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climat*) AND (abundance)",1,1,1,44,0,1,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",PubMed,Seroprevalence,"(""Q Fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climat*) AND (seroprevalence)",10,10,3,46,2,1,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",PubMed,Cases Or Incidence,"(""Q Fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climat*) AND (cases OR incidence)",52,50,16,57,11,5,,
Q-fever [2022],"coxiellosis, Coxiella burnetii",PubMed,Every metric,"(""Q Fever"" OR ""Q-fever"" OR ""Q–fever"" OR coxiellosis OR ""Coxiella burnetii"") AND (climat*) AND (abundance OR seroprevalence OR cases OR incidence)",53,50,16,57,0,16,1182,
West Nile Virus [2022],"West Nile fever, WNV",Scholar,Abundance,"(""West Nile fever"" OR ""West Nile Virus"" OR WNV) AND (climate) AND (Abundance)","15,300",50,43,43,43,0,,
West Nile Virus [2022],"West Nile fever, WNV",Scholar,Seroprevalence,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climate) AND (Seroprevalence)",4510,50,28,63,20,8,,
West Nile Virus [2022],"West Nile fever, WNV",Scholar,Cases Or Incidence,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climate) AND (Cases OR Incidence)",15800,50,42,74,11,31,,
West Nile Virus [2022],"West Nile fever, WNV",Scholar,Every metric,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climate) AND (Abundance OR Seroprevalence OR Cases OR Incidence)",17600,50,45,75,1,44,,
West Nile Virus [2022],"West Nile fever, WNV",PubMed,Abundance,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climat*) AND (abundance)",86,50,34,91,16,18,,
West Nile Virus [2022],"West Nile fever, WNV",PubMed,Seroprevalence,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climat*) AND (seroprevalence)",20,20,6,94,3,3,,
West Nile Virus [2022],"West Nile fever, WNV",PubMed,Cases Or Incidence,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climat*) AND (cases OR incidence)",318,50,25,109,15,10,,
West Nile Virus [2022],"West Nile fever, WNV",PubMed,Every metric,"(""West Nile virus"" OR ""West Nile fever"" OR WNV) AND (climat*) AND (abundance OR seroprevalence OR cases OR incidence)",352,50,23,109,0,23,,
,,,,,,13468,,,,,,
,,,,,,,2424,,,1133,1291,
,,,,,Scholar,9891,,Scholar,819,,,
,,,,,PubMed,3527,,PubMed,212,,,