DOI,Response,Specific,Reponse2,
10.1111/zph.12044,Abudance,Host number,Host abundance,
https://doi.org/10.1016/j.scitotenv.2019.135491,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009685.g006,Incidence,Incidence,Human disease incidence,
10.1186/1471-2458-13-347,Cases,Monthly cases,Human disease incidence,
10.1371/journal.pntd.0002615,Cases,Cases,Human disease incidence,
https://doi.org/10.1007/s12639-020-01260-2,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1186/s12917-018-1588-8,Incidence,mortality,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009498,Incidence,Incidence,Human disease incidence,
10.4269/ajtmh.12-0474,Cases,Monthly cases,Human disease incidence,
10.4269/ajtmh.12-0473,Cases,Monthly cases,Human disease incidence,
10.1007/s10393-013-0849-z,Cases,Cases,Human disease incidence,
10.1371/journal.pntd.0002260,Cases,Cases,Human disease incidence,
10.1186/s13567-016-0308-2,Seroprevalence,Prevalence in host,Host infection,
10.1371/journal.pntd.0004632,Abudance,Host number,Host abundance,
10.1086/659632,Seroprevalence,Prevalence in host,Host infection,
10.1371/journal.pntd.0003530,Cases,Cases,Human disease incidence,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Seroprevalence,Infection intensity,Host infection,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Abundance,Prevalence,Host infection,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Abundance,Prevalence of host,Host abundance,
https://doi.org/10.3390/v14051100,Incidence,Spillover event,Human outbreak occurrence,
https://doi.org/10.1007/s13280-021-01594-y,Seroprevalence,Prevalence in host,Host infection,
10.3389/fvets.2021.730424,Abudance,Abundance of host,Host abundance,
10.3389/fvets.2021.730424,Abundance,Abundance of host,Host abundance,
https://doi.org/10.1038/s41598-019-43353-w,Cases,Hospitilisation records,Human disease incidence,
http://dx.doi.org/10.1098/rspb.2020.0538,Cases,Outbreak magnitude,Human disease incidence,
10.1111/gcb.16395,Cases,Cases,Human case locations,individual points per case
https://doi.org/10.1016/j.jiph.2019.11.011,Incidence,Cases,Human disease incidence,
10.4269/ajtmh.2012.11-0569,Cases,Cases,Human case locations,
10.1289/ehp.0901504,Cases,Cases,Human disease incidence,
10.1089/153036603768395807,Incidence,Monthly Incidence,Human disease incidence,
https://doi.org/10.1016/j.envres.2019.06.004,Incidence,Cases,Human disease incidence,
10.1371/journal.pone.0083484,Incidence,Incidence,Human disease incidence,
10.3201/eid1603.081364,Cases,Cases,Human case locations,
https://doi.org/10.24321/0019.5138.201729,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1093/ije/31.1.189,Incidence,Annual Incidence,Human disease incidence,
10.1007/s00436-008-1061-x,Incidence,Cases,Human disease incidence,
10.3855/jidc.4020,Incidence,Cases,Human disease incidence,
https://doi.org/10.1016/j.scitotenv.2018.04.407,Cases,Cases,Human case locations,
10.9734/IJTDH/2021/v42i2330562,Cases,Occurrence,Human disease incidence,
10.1590/0102-311XER118417,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1016/j.onehlt.2022.100449,Cases,Cases,Human disease incidence,
10.4081/gh.2016.377,Cases,Cases,Human outbreak occurrence,
https://doi.org/10.1371/journal.pntd.0010464,Abundance,Prevalence in host,Host infection,
https://doi.org/10.1186/s12889-020-08599-4,Incidence,Monthly Incidence,Human disease incidence,
10.1017/S095026881600203X,Cases,Weekly cases,Human disease incidence,
http://dx.doi.org/10.1097/MD.0000000000014640,Cases,Cases,Human disease incidence,
https://doi.org/10.1016/j.micpath.2019.103858,Incidence,Incidence,Human disease incidence,
10.4269/ajtmh.15-0486,Abundance,Host number,Host abundance,
https://doi.org/10.1007/s00484-020-02028-2,Incidence,Incidence,Human disease incidence,
10.1017/S0950268813003208,Cases,Cases,Human disease incidence,
10.1186/1471-2334-10-46,Seroprevalence,Prevalence of disease in host,Host infection,
10.1590/1413-81232022273.45982020,Incidence,Relative risk,Human disease incidence,
https://doi.org/10.1016/j.scitotenv.2020.138251,Cases,Cases,Human disease incidence,
10.1017/S0950268810002062,Incidence,Cases,Human disease incidence,
10.1186/1476-072X-6-55,Seroprevalence,Virus prevalence,Host infection,
10.1186/1476-072X-6-55,Abundance,Host number,Host abundance,
10.1186/1471-2458-12-1116,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1007/s10393-022-01610-x,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1186/s12879-021-06857-3,Cases,Cases,Human disease incidence,
10.1093/cid/cit058,Cases,Cases,Human disease incidence,
10.1017/S0950268812002555,Cases,Cases,Human disease incidence,
https://doi.org/10.1038/s41467-021-25910-y,Incidence,Occurrence,Human disease incidence,
10.1186/s12879-017-2506-6,Incidence,Cases,Human disease incidence,
10.1186/1471-2334-13-547,Incidence,Incidence,Human disease incidence,
10.1371/journal.pone.0099965,Abundance,Host number,Host abundance,
https://doi.org/10.1371/journal.pone.0232910,Cases,Cases,Human disease incidence,
https://doi.org/10.1186/s12985-018-0992-9,Abundance,Host prevalence,Host infection,
https://doi.org/10.1016/j.actatropica.2020.105701,Cases,Hospital admissions,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0008786,Cases,Log10 transformed Cases,Human disease incidence,
10.1371/journal.pone.0150180,Cases,Cases,Human disease incidence,
10.1371/journal.pntd.0003626,Seroprevalence,Seroprositivity ratio,Human seroprevalence,
10.1097/QAD.0b013e32833999c9,Cases,Cases,Human disease incidence,
10.3390/ijerph15040608,Incidence,Monthly cases,Human disease incidence,
10.3390/ijerph15040608,Incidence,Monthly,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0007968,Incidence,Cases,Human disease incidence,
10.3390/v6103944,Seroprevalence,Seroprevalence,Host infection,
http://dx.doi.org/10.1098/rspb.2017.0475,Abundance,Abundance of host,Host abundance,
10.3390/ijerph110707242,Abundance,Quarterly case numbers,Host infection,
10.3354/cr01120,Cases,Cases,Human disease incidence,
http://dx.doi.org/10.1098/rstb.2018.0268,Incidence,Seasonal incidence,Human disease incidence,
https://doi.org/10.1073/pnas.1701777114,Incidence,Cases,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0007757,Abundance,Host abundance,Host abundance,
10.1186/1471-2334-9-109,Incidence,Incidence,Human disease incidence,
10.1371/journal.pone.0061536,Abundance,Host abundance,Host abundance,
10.1186/1471-2334-11-331,Cases,Cases,Human disease incidence,
10.3390/ijerph110404201,Incidence,Monthly Incidence,Human disease incidence,
10.3389/fpubh.2015.00054,Abundance,Disease presence,Human case locations,
10.5123/S1679-49742019000100009,Incidence,Incidence,Human disease incidence,
10.4269/ajtmh.16-0922,Incidence,Cases,Human disease incidence,
10.1371/journal.pntd.0004637,Incidence,Cases,Human disease incidence,
10.1038/emi.2017.92,Incidence,Disease occurrence,Human disease incidence,
10.1016/j.biosystemseng.2011.02.004,Cases,Cases,Human disease incidence,
10.4269/ajtmh.14-0737,Incidence,Odds of above average Incidence,Human disease incidence,
10.1017/S0950268816002430,Cases,Occurrence,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0006604,Incidence,Cases,Human disease incidence,
10.1186/1471-2334-14-139,Incidence,Cases,Human disease incidence,
10.1007/s00484-013-0688-1),Cases,Occurrence,Human disease incidence,
10.1016/S1995-7645(12)60095-9,Cases,Cases,Human disease incidence,
10.1371/journal.pntd.0002779,Cases,Cases,Human disease incidence,
10.30476/ijms.2019.44968,Incidence,Cases,Human disease incidence,
https://doi.org/10.1186/s13104-020-05415-5,Incidence,Cases,Human disease incidence,
10.1017/S0950268808000940,Cases,Cases,Human disease incidence,
10.5897/JPHE2013.0597,Cases,Cases,Human seroprevalence,
https://doi.org/10.1371/journal.pntd.0007507,Incidence,Infection risk,Human disease incidence,
10.1017/S0950268814003525,Abundance,Prevalence in host,Host infection,
10.1371/journal.pone.0084326,Incidence,Incidence,Human disease incidence,
10.1186/1476-072X-8-1,Cases,cases,Human disease incidence,
10.1186/1476-072X-8-1,Cases,Cases,Human disease incidence,
https://doi.org/10.1016/j.vetpar.2013.09.004,Seroprevalence,Distribution of disease,Host infection,
10.1016/j.actatropica.2011.05.018,Incidence,Standardised Incidence rates,Human disease incidence,
10.3201/eid1507.081413,Cases,Incidence rates,Human disease incidence,
10.1111/tbed.14385,Abundance,Disease in host,Host infection,
https://doi.org/10.1016/S0140-6736(00)05250-8,Incidence,Incidence,Human disease incidence,
10.3390/ijerph120707254,Incidence,Incidence,Human disease incidence,
10.1186/1471-2334-13-191,Incidence,Incidence,Human disease incidence,
http://dx.doi.org/10.1098/rstb.2016.0165,Cases,Risk of infection,Host infection,
10.1371/journal.pone.0020377,Cases,Cases,Human disease incidence,
10.3402/gha.v4i0.8448,Incidence,Incidence rates,Human disease incidence,
https://pubmed.ncbi.nlm.nih.gov/18256437/,Incidence,Incidence,Human disease incidence,
https://doi.org/10.12980/apjtd.7.2017D6-353,Incidence,Cases,Human disease incidence,
https://doi.org/10.1016/j.ijppaw.2019.04.011,Abundance,Abundance of vectors on host,Host infection,
http://ijer.skums.ac.ir/article_18768.html,Cases,Cases,Human disease incidence,
10.3390/ijerph110201211,Incidence,Incidence,Human disease incidence,
10.7727/wimj.2017.118,Incidence,Incidence,Human disease incidence,
10.1371/journal.pone.0022192,Incidence,Case distribution,Human disease incidence,
10.1093/biosci/biv047,Cases,Log(cases),Human disease incidence,
https://doi.org/10.1038/s41598-021-03723-9,Incidence,Distribution of disease risk,Human disease incidence,
10.1371/journal.pntd.0004875,Cases,Cases,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009029,Abundance,Host abundance,Host abundance,
https://doi.org/10.1371/journal.pntd.0009029,Abudance,Host abundance,Host abundance,
https://doi.org/10.1016/j.cimid.2022.101903,Abundance,Prevalence in host,Host infection,
10.3390/ijerph111212129,Incidence,Incidence,Human disease incidence,
10.7717/peerj.10113,Cases,cases,Human disease incidence,
10.1371/journal.pone.0167836,Incidence,cases,Human disease incidence,
https://doi.org/10.1016/j.actatropica.2020.105654,Cases,Cases,Human case locations,
10.1089/vbz.2007.0160,Incidence,Host prevalence,Host infection,
https://doi.org/10.3201/eid2612.191282,Cases,Cases,Human disease incidence,
10.1007/s10393-011-0719-5,Cases,Presence of host,Host occurrence,
10.1371/journal.pone.0133218,Cases,Monthly cases,Human disease incidence,
http://dx.doi.org/10.1016/j.actatropica.2017.01.002,Incidence,Incidence,Human disease incidence,
10.1016/j.tvjl.2011.11.013,Seroprevalence,Seropositivity,Host infection,
10.3390/ijerph14111317,Incidence,Cases,Human disease incidence,
http://dx.doi.org/10.4142/jvs.2012.13.3.293,Cases,Occurrence of outbreak,Human disease incidence,
10.3390/ijerph10051831,Seroprevalence,Mean Sero-conversion rates in host,Host infection,
10.1016/j.ijpara.2006.07.010,Seroprevalence,Seropositivity of host,Host infection,
https://doi.org/10.1371/journal.pntd.0008233,Incidence,Cases,Human disease incidence,
10.1017/S0950268812001434,Incidence,Cases,Human disease incidence,
10.2166/wh.2010.049,Incidence,Cases,Human disease incidence,
http://dx.doi.org/10.1016/j.scitotenv.2022.159085,Cases,Cases,Human disease incidence,
10.1017/S0950268807009454,Cases,Cases,Human disease incidence,
http://dx.doi.org/10.1098/rstb.2016.0116,Seroprevalence,Pathogen abundance,Host infection,
10.4269/ajtmh.2010.09-0247,Abundance,Abundance in host (square root transformed),Host infection,
https://doi.org/10.1186/s12879-018-3427-8,Cases,Distribution of cases,Human case locations,
https://doi.org/10.1371/journal.pgph.0000506,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1186/s12889-020-09638-w,Cases,Cases,Human case locations,
10.1007/s00038-011-0236-x,Incidence,Logarithmic Incidence,Human disease incidence,
https://doi.org/10.1371/journal.pone.0248032,Incidence,Natural logarithmic transformation of number of patients,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0005911,Cases,Hospitalisation rates,Human disease incidence,
10.1017/S0950268817002138,Seroprevalence,Timing of increased pathogen prevalence,Host infection,
10.1017/S0950268817002138,Seroprevalence,Amplitude of pathogen prevalence,Host infection,
10.1371/journal.pntd.0002045,Seroprevalence,Disease prevalence,Human case locations,
10.5812/jhealthscope.56045,Cases,Number of diseases,Human outbreak occurrence,
https://doi.org/10.1371/journal.pntd.0009217,Incidence,Incidence,Human disease incidence,
http://dx.doi.org/10.1080/01650521.2012.736730,Abundance,Abundance of Host,Host abundance,
10.1111/zph.12848,Abundance,Host number,Host abundance,
http://doi.org/10.2147/IDR.S250038,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1080/22423982.2017.1298882,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1007/s11356-022-22831-1,Cases,Cases,Human disease incidence,
https://doi.org/10.1016/j.scitotenv.2020.137564,Cases,Cases,Human disease incidence,
https://doi.org/10.1023/A:1011148316537,Seroprevalence,Prevalence in host,Host infection,
10.4269/ajtmh.1999.61.814,Incidence,Cases,Human disease incidence,
10.4269/ajtmh.2012.11-0450,Cases,cases,Human case locations,
https://doi.org/10.3201/eid2401.171372,Abundance,Abundance of host,Host abundance,
10.4269/ajtmh.20-0040,Cases,Relative risk,Human disease incidence,
https://doi.org/10.1016/j.heliyon.2021.e06095,Cases,Disease occurrence,Human disease incidence,
https://doi.org/10.1186/s12889-020-09989-4,Incidence,Cases,Human disease incidence,
10.3390/v11111008,Seroprevalence,Risk of infection,Human disease incidence,
10.3390/v11111008,Cases,Cases,Human disease incidence,
10.1007/s00484-011-0419-4,Cases,Hospitalisation rates,Human disease incidence,
https://doi.org/10.1186/s13071-022-05169-y,Seroprevalence,disease prevalence,Human disease incidence,
10.3390/ijerph16183434,Cases,Risk of infection,Human disease incidence,
https://doi.org/10.3390/v13020169,Abundance,Annual number spillover events,Human outbreak occurrence,
10.1371/journal.pntd.0003155,Cases,High vs Low periods of plague,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009108,Abundance,Disease emergence events,Human outbreak occurrence,
http://dx.doi.org/10.1080/01650521.2012.736730,Abundance,Abundance of host,Host abundance,
https://doi.org/10.1186/s12889-022-13423-2,Incidence,Incidence,Human disease incidence,
10.1089/vbz.2010.0196,Seroprevalence,Abundance of disease in coyotes,Host infection,
https://doi.org/10.1371/journal.pone.0247980,Incidence,Incidence,Human disease incidence,
10.1371/journal.pone.0163459,Cases,Disease risk,Human disease incidence,
10.2166/wh.2017.100,Cases,Cases,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0005447,Cases,Cases,Human disease incidence,
10.3390/v6010201,Cases,Presence of disease,Human outbreak occurrence,
10.1371/journal.pntd.0002334,Cases,Cases,Human disease incidence,
https://doi.org/10.1038/s41467-021-25910-y,Incidence,Incidence,Human disease incidence,
10.1017/S0950268807000039,Abundance,Abundance of host,Host abundance,
10.1371/journal.pntd.0000789,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1038/s41598-021-00167-z,Incidence,Incidence,Human disease incidence,
10.1371/journal.ppat.1000854,Abundance,Abundance of Host,Host abundance,
10.1371/journal.ppat.1000854,Abundance,Abundance of host,Host abundance,
https://www.ivis.org/sites/default/files/library/ijvm/71-4/3-seroprevalence.pdf,Abundance,Disease prevalence in host,Host infection,
https://doi.org/10.3390/v13020169,Cases,Number of outbreak areas,Human outbreak occurrence,
https://doi.org/10.3390/v13020169,Cases,Number of outbreak events,Human outbreak occurrence,
10.1017/S0950268807000039,Cases,Cases,Human disease incidence,
10.1890/10-1946.1,Abundance,Host population extinctio,Host abundance,
https://doi.org/10.1017/S0022149X20000553,Abundance,Host number,Host abundance,
https://doi.org/10.1186/s12940-019-0558-3,Incidence,Cumulative relative risk,Human disease incidence,
https://pubmed.ncbi.nlm.nih.gov/31879667,Abundance,Abundance of host,Host abundance,
https://doi.org/10.1016/j.ijppaw.2019.08.005,Abundance,Prevalence of disease in host,Host infection,
10.1016/j.annepidem.2007.03.020,Incidence,incidence,Human disease incidence,
10.1016/j.jinf.2007.07.004,Incidence,Cases,Human disease incidence,
10.1371/journal.pone.0144570,Incidence,Outbreaks,Human outbreak occurrence,
10.1371/journal.pone.0101348,Incidence,Incidence,Human disease incidence,
http://dx.doi.org/10.7717/peerj.735,Cases,Distribution of ebola risk,Human outbreak occurrence,
10.1371/journal.pone.0101348,Incidence,Natural logarithm of Incidence,Human disease incidence,
https://doi.org/10.1186/s12199-019-0839-z,Incidence,Incidence,Human disease incidence,
Â 10.1111/j.1365-2664.2011.02030.x,Seroprevalence,Antibody levels,Host infection,
10.1186/1471-2334-14-301,Incidence,Spatial presence of disease,Human disease incidence,
http://dx.doi.org/10.1016/j.actatropica.2016.01.031,Cases,Cases,Human disease incidence,
10.1371/journal.pntd.0004405,Seroprevalence,Disease risk,Human seroprevalence,
10.29252/jhehp.1.3.149,Incidence,Incidence,Human outbreak occurrence,
https://doi.org/10.1007/s10393-020-01486-9,Cases,Presence of disease,Host infection,
