Environmental_condition,Category,Group,p_val,stat,p_val_removed,stat_removed
Temperature,vector,Mosquito,0.008,3.626509028,0,5.035165887
Temperature,Principal_reservoir,Birds,0.025,3.097034252,0.006,4.251267299
Temperature,Transmission_type,Vectored,0.047,2.327712495,0.003,5.561076464
Temperature,Country,Iran,0.092,2.265642514,0.054,2.72073846
Temperature,Principal_reservoir,Livestock,0.126,1.616177561,0.082,2.188445104
Temperature,vector,Tick,0.145,1.604549105,0.065,2.193948298
Temperature,Country,Argentina,0.174,1.464675299,0.166,1.512716033
Temperature,Transmission_type,Non-vectored,0.212,1.427471809,0.002,5.561076464
Temperature,Principal_reservoir,Mammals (multispecies),0.256,1.22655809,0.068,2.297628081
Temperature,vector,Mite,0.274,1.144378829,0.216,1.356747359
Temperature,Principal_reservoir,Rodents,0.298,1.119190163,0.062,2.379364304
Temperature,Country,USA,0.548,0.7132409,0.53,0.79680265
Temperature,Country,China,0.569,0.708860712,0.28,1.145143503
Temperature,Country,India,0.719,0.527768025,0.73,0.542751453
Temperature,Pathogen,Bacteria,0.988,0.184678386,0.852,0.401112566
Temperature,Pathogen,Virus,0.998,0.184905958,0.593,0.687704809
Precipitation,Transmission_type,Vectored,0.768,0.48435996,0.325,0.99715572
Precipitation,Transmission_type,Non-vectored,0.985,0.219938607,0.34,0.99715572
Precipitation,Principal_reservoir,Rodents,0.851,0.405946158,0.344,1.035747894
Precipitation,Principal_reservoir,Mammals (multispecies),1,0.100772406,0.998,0.165837625
Precipitation,Principal_reservoir,Livestock,0.072,2.170060154,0.029,3.021655216
Precipitation,Principal_reservoir,Birds,0.218,1.272436316,0.126,1.716061546
Precipitation,Pathogen,Virus,0.611,0.685309942,0.098,2.03457931
Precipitation,Pathogen,Bacteria,0.717,0.535774317,0.204,1.399831177
Precipitation,vector,Mosquito,0.452,0.829975183,0.308,1.10731472
Precipitation,vector,Tick,0.393,0.936051721,0.313,1.086778291
Precipitation,vector,Mite,0.441,0.846569394,0.37,1.003989789
Precipitation,Country,China,0.768,0.473940179,0.439,0.876814243
Precipitation,Country,Iran,0.241,1.25212115,0.136,1.590838201
Precipitation,Country,USA,0.283,1.099756918,0.253,1.210496412
Precipitation,Country,Argentina,0.255,1.266672816,0.228,1.322396394
Precipitation,Country,India,0.949,0.28445898,0.955,0.292896451
Humidity,Transmission_type,Vectored,0.893,0.352584851,0.43,0.881969664
Humidity,Transmission_type,Non-vectored,0.98,0.235758927,0.426,0.881969664
Humidity,Principal_reservoir,Rodents,0.815,0.442721766,0.446,0.876656804
Humidity,Principal_reservoir,Mammals (multispecies),0.393,0.891568477,0.139,1.640644872
Humidity,Principal_reservoir,Livestock,0.035,2.736170061,0.004,4.748057026
Humidity,Principal_reservoir,Birds,0.752,0.516536761,0.684,0.587909748
Humidity,Pathogen,Virus,0.972,0.263825763,0.648,0.610570422
Humidity,Pathogen,Bacteria,0.976,0.241401157,0.46,0.829191437
Humidity,vector,Mosquito,0.44,0.922526133,0.243,1.204070579
Humidity,vector,Tick,0.585,0.673497103,0.437,0.863589959
Humidity,vector,Mite,0.747,0.499502397,0.589,0.677125907
Humidity,Country,China,0.274,1.250633577,0.049,2.483730177
Humidity,Country,Iran,0.008,3.428457582,0.001,5.01923773
Humidity,Country,USA,0.338,0.984649446,0.305,1.030593131
Humidity,Country,India,0.966,0.275934026,0.917,0.320978016